studentId,class
1,6G
2,3U
3,7H
4,10R
5,2R
6,2S
7,9I
8,11X
9,11F
10,4A
11,1O
12,4S
13,1S
14,3N
15,1G
16,11P
17,5J
18,2U
19,11P
20,9O
21,5M
22,5A
23,5Z
24,9U
25,9A
26,1Z
27,12U
28,2B
29,2O
30,9F
31,12Z
32,3Y
33,6Q
34,4E
35,9I
36,4W
37,2K
38,1U
39,8S
40,11O
41,9L
42,6B
43,11T
44,5J
45,3W
46,2L
47,11M
48,10J
49,10M
50,4I
51,3Y
52,9T
53,4Q
54,5O
55,8H
56,4I
57,8L
58,11W
59,10I
60,7D
61,1E
62,8G
63,11L
64,8A
65,9B
66,1K
67,11T
68,8I
69,5Q
70,2R
71,2L
72,6T
73,9S
74,1O
75,6X
76,3C
77,6N
78,8D
79,10R
80,11M
81,10F
82,1U
83,9P
84,6M
85,6M
86,9E
87,8I
88,7W
89,5V
90,5E
91,6E
92,4C
93,1E
94,10S
95,3R
96,8V
97,5A
98,9O
99,2O
100,5A
101,1X
102,5Z
103,10O
104,11R
105,7S
106,9N
107,11S
108,1J
109,1H
110,2X
111,12L
112,10B
113,5A
114,7H
115,6P
116,10C
117,5T
118,4V
119,2L
120,8K
121,2Y
122,7E
123,8M
124,10L
125,3R
126,1W
127,4Q
128,12O
129,5Q
130,2I
131,4O
132,9X
133,2W
134,10P
135,3P
136,8K
137,5O
138,2D
139,9O
140,8F
141,6P
142,7H
143,3L
144,6U
145,12P
146,11C
147,1W
148,4K
149,5S
150,4K
151,5I
152,3L
153,3C
154,10U
155,9C
156,12O
157,1B
158,3V
159,12S
160,10M
161,1R
162,1C
163,2B
164,8A
165,9O
166,9Q
167,4R
168,3U
169,11U
170,2X
171,2S
172,7I
173,3W
174,11E
175,12P
176,8I
177,7J
178,9D
179,4E
180,3P
181,11H
182,1B
183,3W
184,1X
185,7F
186,6O
187,9I
188,6B
189,10O
190,11O
191,5L
192,8J
193,8V
194,10O
195,10T
196,10A
197,1A
198,9R
199,1H
200,6C
201,6N
202,9O
203,3R
204,12V
205,3A
206,9H
207,3A
208,5M
209,4T
210,9X
211,8S
212,8L
213,8F
214,6Y
215,8W
216,6F
217,6D
218,8Z
219,1P
220,7N
221,5P
222,9C
223,12R
224,4R
225,10W
226,2K
227,5X
228,5Q
229,9A
230,4X
231,9G
232,4I
233,11O
234,12Q
235,11R
236,3X
237,11H
238,4R
239,3O
240,3R
241,4Z
242,12F
243,10K
244,7X
245,10R
246,4C
247,9A
248,6Y
249,5I
250,7F
251,5G
252,4N
253,11A
254,9Q
255,3T
256,7Y
257,6G
258,1Q
259,4P
260,5W
261,7H
262,7Z
263,7P
264,3M
265,6E
266,1P
267,10R
268,3V
269,3K
270,10T
271,7N
272,10L
273,2P
274,10U
275,6L
276,5B
277,9G
278,8S
279,12B
280,5E
281,10N
282,1Y
283,9O
284,6I
285,8W
286,10X
287,5A
288,9I
289,4F
290,7P
291,5M
292,12K
293,7X
294,5O
295,8A
296,6M
297,8U
298,5K
299,9C
300,9C
301,6K
302,10K
303,7M
304,6G
305,9K
306,1Z
307,1V
308,6U
309,7M
310,10T
311,3Z
312,12V
313,12O
314,5Y
315,11K
316,11T
317,11K
318,3Z
319,8T
320,5B
321,6H
322,7T
323,8Y
324,7T
325,9O
326,1D
327,9D
328,7A
329,6H
330,2D
331,12L
332,11Y
333,12T
334,3L
335,7A
336,8F
337,12G
338,7I
339,12K
340,7D
341,10T
342,1R
343,7V
344,6F
345,6N
346,5D
347,3T
348,6W
349,4H
350,6B
351,11W
352,1I
353,9E
354,9C
355,9F
356,9Y
357,5S
358,8V
359,10B
360,12F
361,4D
362,6M
363,4I
364,1V
365,1T
366,9J
367,3P
368,9U
369,11I
370,11F
371,9I
372,7L
373,6Q
374,5Y
375,4E
376,6Y
377,2U
378,8I
379,11G
380,1A
381,9N
382,2D
383,10R
384,12Q
385,1M
386,2K
387,1G
388,1L
389,8E
390,12F
391,10Q
392,8U
393,11C
394,5K
395,11W
396,10J
397,4R
398,1I
399,11I
400,3X
401,12Q
402,3C
403,11L
404,8P
405,11C
406,6I
407,1S
408,4V
409,4F
410,7E
411,1D
412,3B
413,9U
414,7R
415,2G
416,9U
417,1B
418,11K
419,9P
420,9U
421,6P
422,11K
423,12I
424,10G
425,6C
426,2Z
427,1I
428,3B
429,8Y
430,4W
431,7X
432,5R
433,4C
434,10H
435,9U
436,11P
437,1G
438,5K
439,9Q
440,11X
441,11G
442,3A
443,1Q
444,9J
445,10N
446,2O
447,10J
448,8X
449,10H
450,9J
451,3J
452,2B
453,1B
454,5P
455,3A
456,5O
457,6H
458,4C
459,11V
460,1T
461,5M
462,6I
463,12K
464,6I
465,11J
466,12X
467,2V
468,1N
469,2F
470,9V
471,2O
472,7T
473,7F
474,4E
475,6Q
476,5W
477,2X
478,4T
479,12T
480,3B
481,6Y
482,3K
483,1T
484,11B
485,10V
486,5P
487,4K
488,10E
489,5I
490,3Y
491,6B
492,2Y
493,9H
494,9C
495,2U
496,1F
497,6Y
498,10G
499,6E
500,6H
501,11M
502,8B
503,10L
504,9B
505,6U
506,12U
507,2D
508,2N
509,11I
510,1Y
511,9E
512,8V
513,6H
514,10S
515,1Z
516,8F
517,11X
518,6Z
519,11K
520,4Q
521,4J
522,11F
523,7Q
524,12I
525,11K
526,3R
527,7O
528,11F
529,3X
530,12F
531,11Q
532,3O
533,7W
534,11Y
535,6X
536,3O
537,11Z
538,8P
539,5C
540,3X
541,10M
542,10C
543,8O
544,6K
545,8W
546,5E
547,8F
548,5N
549,4F
550,8B
551,4W
552,10H
553,3S
554,6B
555,8L
556,7J
557,1X
558,9R
559,3R
560,8W
561,12X
562,12M
563,6N
564,3E
565,11F
566,6P
567,9U
568,7K
569,11N
570,1H
571,12H
572,9I
573,9M
574,1O
575,5L
576,7T
577,8V
578,10M
579,3Z
580,10L
581,8C
582,8X
583,1O
584,6Y
585,1D
586,3D
587,3W
588,8I
589,3D
590,5F
591,1Z
592,1C
593,7B
594,3P
595,8I
596,4R
597,1S
598,10G
599,3C
600,7U
601,12Y
602,8C
603,11B
604,12C
605,3O
606,8E
607,4K
608,7Z
609,9K
610,7X
611,10R
612,2L
613,4U
614,1Q
615,2S
616,5G
617,11U
618,6T
619,6L
620,3F
621,6V
622,12G
623,10A
624,2D
625,12R
626,10Y
627,5P
628,4F
629,5X
630,9T
631,2N
632,11V
633,12E
634,7S
635,11H
636,11X
637,9U
638,4E
639,3V
640,7W
641,12G
642,6S
643,5T
644,9F
645,3R
646,10O
647,11K
648,10H
649,2L
650,12O
651,2Q
652,10X
653,1V
654,10O
655,3Y
656,12Z
657,1G
658,7D
659,3E
660,12C
661,6U
662,5N
663,6X
664,7A
665,3Q
666,5S
667,4V
668,4U
669,6B
670,12N
671,3F
672,8C
673,4Z
674,1A
675,12N
676,6L
677,7E
678,8P
679,6J
680,6O
681,11Z
682,9H
683,2B
684,3T
685,8U
686,8Q
687,12H
688,5L
689,10V
690,4C
691,8T
692,9T
693,4A
694,4P
695,11M
696,7A
697,4V
698,3F
699,2P
700,5S
701,11G
702,5F
703,7I
704,8L
705,12P
706,9T
707,12E
708,9Q
709,5O
710,4X
711,9R
712,11T
713,4J
714,9G
715,7C
716,5A
717,7U
718,8C
719,3C
720,11N
721,4U
722,5W
723,2N
724,9X
725,3H
726,2I
727,10Z
728,2F
729,11E
730,6R
731,4X
732,2I
733,2Q
734,8U
735,4I
736,11Q
737,4V
738,2U
739,7H
740,3O
741,3W
742,2D
743,8P
744,6G
745,8X
746,2F
747,2U
748,4U
749,12P
750,3H
751,11K
752,12H
753,11D
754,8S
755,12O
756,6Z
757,9X
758,7P
759,3T
760,8D
761,5B
762,2J
763,10M
764,10Y
765,3D
766,10O
767,5X
768,12K
769,10A
770,11K
771,3J
772,1Q
773,1G
774,11B
775,11Y
776,7B
777,1I
778,1I
779,1N
780,10U
